;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2014M01-I;2014M02-I;2014M03-I;2014M04-I;2014M05-I;2014M06-I;2014M07-I;2014M08-I;2014M09-I;2014M10-I;2014M11-I;2014M12-I;2015M01-I;2015M02-I;2015M03-I;2015M04-I;2015M05-I;2015M06-I;2015M07-I;2015M08-I;2015M09-I;2015M10-I;2015M11-I;2015M12-I;2016M01-I;2016M02-I;2016M03-I;2016M04-I;2016M05-I;2016M06-I;2016M07-I;2016M08-I;2016M09-I;2016M10-I;2016M11-I;2016M12-I;2017M01-I;2017M02-I;2017M03-I;2017M04-I;2017M05-I;2017M06-I;2017M07-I;2017M08-I;2017M09-I;2017M10-I;2017M11-I;2017M12-I;2018M01-I;2018M02-I;2018M03-I;2018M04-I;2018M05-I;2018M06-I;2018M07-I;2018M08-I;2018M09-I;2018M10-I;2018M11-I;2018M12-I;2019M01-I;2019M02-I;2019M03-I;2019M04-I;2019M05-I;2019M06-I;2019M07-I;2019M08-I;2019M09-I;2019M10-I;2019M11-I;2019M12-I;2020M01-I;2020M02-I;2020M03-I;2020M04-I
Thailand;17777,86;14752,67;17748,39;17003,81;17591,12;16658,32;17831,23;17440,47;18865,78;18141,65;17311,81;16892,10;17096,96;15217,26;16623,92;15404,79;15345,95;16235,36;16108,87;15309,48;15607,00;15617,92;15398,61;15062,56;13934,77;12655,68;15042,53;14183,44;14440,66;15192,13;14648,45;16002,21;16023,93;15603,78;15409,15;15765,28;15528,77;14127,09;17235,68;15962,30;16549,37;17097,40;17816,89;16694,13;17182,02;17597,05;18350,84;18909,32;18230,06;17219,70;19822,31;18470,25;19320,20;19091,61;19437,99;20349,81;19352,31;20078,40;19048,41;18157,64;18825,75;15419,42;18873,01;17424,63;18839,80;17470,64;18093,95;17631,69;17379,36;18960,43;18599,77;18242,47;17423,24;14453,58;17461,78;14516,92;20087,28;17978,21;21548,00;21139,39;20515,59;21341,21;21938,09;20836,02;21702,17;21286,84;22188,96;25371,58;19181,03;18004,87;20588,58;19738,25;19791,89;20207,42;20491,38;19973,94;21167,88;21550,01;19546,60;21300,58;18743,06;16932,22;20484,43;19382,63;19172,20;19997,93;20309,29;19514,95;19887,05;20305,83;19125,81;19301,54;17581,04;18504,74;20145,97;18247,62;19203,06;20396,10;19464,26;20717,49;20841,44;21169,39;21566,98;20148,20;18368,04;18758,71;22248,65;19439,49;21148,27;21312,07;21148,07;22893,43;23412,96;22107,10;22649,25;21939,97;22303,69;19858,99;23951,07;22219,71;23086,94;22945,28;23368,07;23403,05;22931,98;24076,03;22583,11;21112,50;21658,56;19398,92;22475,82;22222,57;22483,32;22499,39;24111,76;23427,70;22263,50;23314,55;21499,67;21670,57;20903,38;19696,54;22351,63;21262,56
Timor-Leste, Dem. Rep. of;37,38;29,71;30,92;40,17;51,73;40,40;49,27;42,85;59,61;50,75;57,45;41,52;112,12;36,15;37,05;39,42;36,60;47,13;30,19;50,93;38,09;57,09;59,20;47,41;27,43;23,44;18,24;22,20;29,24;31,94;40,35;32,34;33,68;34,75;27,60;36,15;22,10;9,79;20,27;21,76;47,11;41,96;41,35;46,06;46,28;26,79;35,29;41,45;14,73;15,71;17,44;19,59;22,76;17,34;22,02;39,34;26,76;20,27;26,04;71,22;36,18;39,14;43,88;44,84;39,24;35,57;46,84;44,57;62,63;57,40;54,40;47,24;36,32;53,11;59,69;54,30;72,86;47,18;77,94;70,42;58,51;57,92;71,24;79,59;74,59;75,53;96,63;96,36;2,03;1,86;1,56;1,30;1,42;55,25;1,17;18,47;37,80;5,10;3,47;4,85;10,07;18,66;34,11;0,87;33,38;0,89;61,52;0,92;35,03;34,12;35,34;57,40;1,89;6,33;2,84;8,39;2,88;6,20;1,27;1,48;2,70;5,29;5,65;3,76;3,35;2,24;1,60;1,93;2,03;1,88;1,50;3,65;3,85;40,54;20,67;23,30;2,46;3,79;26,65;24,34;2,67;2,15;2,28;1,88;4,61;2,57;4,56;3,19;3,08;4,22;2,65;2,28;1,96;2,54;1,67;3,91;12,65;64,70;4,38;23,06;4,03;25,42;1,39;8,23
Tonga;10,86;10,78;14,17;13,85;13,83;17,31;24,07;17,48;24,42;22,35;15,07;10,71;8,80;15,33;13,64;18,74;12,80;14,40;12,60;12,34;19,69;18,02;15,31;15,47;10,87;11,22;13,81;17,62;17,68;33,59;17,20;17,07;15,79;14,07;17,02;15,22;10,01;8,02;10,50;10,19;11,18;11,92;11,19;14,43;13,95;15,07;10,57;10,40;12,93;14,04;13,69;14,05;19,72;19,57;17,37;20,77;17,15;25,86;17,82;20,43;16,55;15,40;17,62;16,20;20,64;17,72;19,93;19,07;21,16;19,05;21,29;22,36;13,96;10,99;15,07;13,88;14,94;16,24;17,70;18,52;17,87;21,96;18,12;20,82;19,56;27,47;24,22;22,06;0,75;0,87;0,71;0,76;0,59;0,57;0,69;0,84;2,21;1,19;1,86;2,17;1,04;0,78;0,71;0,73;0,53;0,50;0,57;0,46;0,85;1,05;3,19;1,01;0,97;0,83;0,55;0,52;0,58;0,57;1,00;0,98;0,87;2,62;2,88;2,20;1,13;0,90;1,51;0,68;0,84;1,04;0,72;1,06;1,00;3,02;2,85;1,37;0,81;0,66;1,78;0,55;0,64;0,67;0,68;2,69;0,96;1,60;2,26;1,70;0,65;0,78;1,02;2,58;1,37;1,11;1,03;1,35;1,30;1,42;4,22;2,04;0,80;0,83;0,82;0,30
Tuvalu;9,94;7,30;7,16;7,83;8,09;9,74;11,58;12,73;19,14;8,11;11,30;8,46;6,32;8,83;9,48;9,70;4,78;3,02;3,31;2,02;2,84;3,31;15,84;7,36;2,52;2,24;4,17;2,21;4,50;5,54;6,79;4,58;6,65;5,04;4,81;8,69;6,08;2,58;3,11;5,25;4,16;6,95;8,27;12,48;9,80;9,28;5,68;5,29;4,72;5,57;5,99;11,47;7,02;11,95;7,20;5,54;7,56;5,75;5,59;8,46;7,22;8,09;6,41;6,12;6,19;8,94;8,15;13,00;5,14;6,12;7,44;7,85;8,18;3,70;3,42;2,36;4,89;8,39;17,34;46,79;11,86;9,72;13,92;14,42;13,52;15,46;17,16;11,87;0,41;1,08;0,53;0,91;0,82;0,84;0,53;1,05;2,19;1,65;1,15;0,57;0,07;0,19;0,67;0,45;0,22;0,20;1,94;0,29;0,23;0,46;0,26;0,19;0,30;0,14;0,47;0,10;0,38;0,14;0,64;0,09;0,48;0,19;0,10;0,34;0,10;0,46;0,29;0,47;0,21;0,12;0,47;0,60;0,13;0,27;0,28;0,18;5,66;3,66;5,94;0,65;0,13;0,35;0,56;0,29;0,08;0,58;0,26;0,23;0,69;0,67;0,70;0,78;1,97;1,02;0,79;0,81;0,74;0,88;0,77;1,38;4,32;0,20;0,22;0,11
Vanuatu;68,35;27,78;103,81;44,39;72,35;58,85;26,12;31,39;106,08;77,15;68,08;24,35;21,12;49,58;24,25;49,94;26,83;27,66;33,55;24,88;27,65;31,44;37,12;26,28;29,51;19,98;49,38;32,37;31,96;26,57;29,49;23,45;27,40;47,17;24,86;25,39;19,43;20,14;24,18;21,64;25,26;25,51;82,67;116,10;30,22;30,27;55,42;27,56;24,66;30,61;18,79;29,63;30,70;27,44;31,94;23,88;26,13;29,56;24,90;23,47;22,71;18,46;20,41;20,67;25,61;25,13;23,10;31,25;24,21;25,61;29,40;23,31;23,05;14,07;19,87;15,54;25,50;21,81;24,43;28,61;25,62;28,16;26,61;26,63;28,70;26,98;35,83;30,06;43,20;49,98;69,24;68,29;53,30;41,17;47,32;49,80;48,51;66,39;55,74;48,99;56,73;62,45;76,44;60,97;78,91;74,93;77,97;69,92;66,12;54,81;157,96;74,40;41,62;47,89;36,36;40,69;45,07;41,02;35,72;183,64;45,87;35,67;50,36;42,73;13,04;20,15;21,74;21,62;20,80;23,97;23,57;18,73;20,43;25,17;15,79;29,65;10,28;13,03;16,31;18,10;21,85;22,36;9,68;8,23;9,10;20,07;15,82;24,35;14,11;7,85;14,56;20,16;17,80;16,72;19,42;14,07;13,41;17,09;14,98;15,63;20,82;9,42;16,74;28,47
Vietnam;12785,37;11257,39;15467,37;14794,65;14376,56;13694,09;14828,06;14851,26;15407,33;17615,04;16993,14;18568,16;16510,88;12737,27;16662,46;15799,64;15735,16;15870,00;15969,35;15369,94;16245,53;16872,98;17321,07;19007,28;14169,80;12060,99;16838,73;16387,63;16516,54;17447,58;17074,44;17236,23;17501,34;18296,22;19352,51;19518,10;15528,25;15507,33;20640,79;17642,87;19753,18;19603,83;18909,33;19707,48;21371,40;20248,37;23759,13;23350,93;21337,30;15962,50;21661,89;20899,56;21177,99;21437,43;21257,26;22278,72;21904,07;23343,68;24397,67;23214,75;20746,06;16836,57;23854,42;22605,51;23294,65;21567,12;22963,49;24196,98;22567,99;24052,10;23859,43;24572,41;17951,26;18929,48;23626,20;19502,85;28254,53;21855,43;28898,77;29505,59;27977,90;28501,99;28916,55;27003,52;26606,92;27877,95;31663,66;31779,09;13360,42;10924,92;12855,77;13453,12;12759,37;13385,33;13764,05;13774,54;15098,23;15218,97;14461,57;14446,10;14710,18;12921,22;15017,22;14713,82;14291,20;16055,32;15854,15;16530,20;16559,84;16367,55;16018,48;15243,91;16160,60;15040,69;17049,55;16131,64;16902,80;17999,99;17052,40;19436,03;18181,60;18354,82;19901,43;18864,02;19179,23;16290,72;19447,16;19130,23;21904,48;20790,27;21534,34;23102,72;23624,49;24214,59;24694,72;23159,02;25273,53;20665,69;22590,90;21273,93;22562,54;22166,72;24116,17;26554,32;26947,11;28143,81;25510,66;21964,58;24918,55;20485,48;25515,46;24082,97;24833,90;23711,84;27405,01;29571,73;30201,44;29678,73;27765,33;26984,24;25502,10;23773,67;27410,96;22734,29
Asia not specified;1828,61;784,88;1585,73;731,84;1120,36;1766,94;719,69;1398,55;1693,17;1088,09;956,94;1709,32;1703,63;1698,86;758,35;860,70;1181,17;1087,75;2510,82;1072,66;1226,17;1224,50;1682,97;1163,33;1793,77;1307,49;1645,86;2011,54;1037,95;2444,76;2063,20;1444,58;1770,91;1252,78;621,30;693,08;103,03;187,55;144,76;130,26;591,46;410,83;505,91;1017,89;1001,73;951,74;710,43;1226,16;131,62;247,00;204,87;230,62;368,45;417,40;372,21;193,75;260,54;240,77;185,97;314,20;269,92;180,28;246,50;251,64;305,92;243,05;487,38;545,91;217,20;385,81;207,34;280,79;233,88;342,08;1010,57;103,61;221,80;204,27;341,76;227,45;218,43;268,96;227,34;275,17;347,24;344,38;338,01;315,25;573,40;565,05;592,37;572,64;607,29;818,96;582,18;584,10;675,16;626,29;601,87;627,03;1287,30;1289,06;1306,69;1311,97;1316,87;1303,84;1305,27;1284,10;1313,39;1288,16;1308,57;1320,56;2105,53;1902,48;1975,03;3023,04;1861,69;2699,91;3007,81;2589,94;2504,90;2380,83;2431,45;2421,53;1443,90;1417,60;1381,46;1318,03;1686,79;1524,57;1704,79;2810,20;2871,90;2477,14;2584,91;2873,07;1368,88;426,18;515,03;319,64;1152,94;600,97;766,72;628,71;1091,35;580,46;481,59;474,16;854,28;749,29;826,87;889,47;884,48;744,19;2438,92;2418,34;790,60;2529,53;875,12;885,66;972,50;903,32;987,53;1128,13
Emerging and Developing Europe;93837,67;90580,15;100791,66;99993,89;100596,19;99015,42;102682,25;89626,76;98590,51;98708,99;90553,09;83829,14;71630,15;73009,47;77062,65;74479,41;74951,21;80372,31;79981,88;70290,71;79449,55;81067,45;74228,46;72269,32;62459,51;68760,78;76343,91;77098,42;76638,01;80066,90;74335,94;76181,11;80002,68;78550,31;80692,83;77221,55;72919,49;74520,95;89541,10;80144,20;90064,67;92044,08;89430,25;89213,60;95808,56;96202,34;99946,09;92377,54;95142,76;94907,33;105305,23;98569,07;100880,19;100428,46;97075,71;92767,61;94232,76;101756,82;97916,15;87560,03;90553,64;90023,78;101500,18;94956,51;98528,93;94281,91;100070,79;92231,87;96696,08;104322,27;99751,15;92709,54;92085,72;90938,99;92882,19;69300,80;98008,64;104101,94;119741,80;114488,24;111755,63;121890,11;117435,36;112983,10;124390,11;125193,79;132709,00;132078,18;100788,29;99481,30;111431,41;108675,07;106676,35;103990,34;105572,39;94386,14;102475,81;101181,23;93460,93;91466,06;78568,80;78931,48;88380,38;83702,59;82917,24;87777,98;84576,77;75616,61;82018,23;84165,26;79277,36;76709,50;66326,53;72935,16;81732,19;79390,61;79729,78;81738,71;74506,55;78350,63;81493,59;83387,41;85976,12;84063,02;81695,29;82855,99;93802,86;83667,08;93312,88;91269,50;88874,56;90543,78;95820,74;99450,08;102235,15;98380,63;101894,02;97952,57;109010,69;104968,88;106884,68;103677,91;105166,55;100649,35;104414,98;113272,99;109702,90;99170,26;101732,32;96861,09;107682,44;106558,52;105093,88;97641,81;106323,43;97412,14;101717,71;110131,04;105854,53;102860,94;99860,65;95626,98;95656,39;70444,93
Albania;344,11;314,04;397,74;387,00;422,80;420,28;446,93;411,21;386,54;444,70;376,94;400,92;282,12;295,41;296,22;329,90;385,42;368,15;381,85;321,59;362,80;408,84;359,92;376,63;260,96;335,29;373,37;436,05;416,27;421,69;377,69;371,20;370,61;385,17;398,80;367,11;289,71;312,57;408,24;384,07;468,76;515,96;440,20;391,25;425,51;467,86;475,78;434,60;406,24;400,71;443,11;503,76;521,64;512,41;516,80;488,83;440,73;516,39;478,93;474,81;408,08;438,47;500,68;476,52;501,39;461,90;536,34;446,16;430,85;503,06;448,44;462,07;413,64;415,91;393,11;330,21;454,45;480,91;575,18;647,96;586,08;651,29;654,02;537,55;598,18;705,95;652,76;658,76;166,77;247,41;227,45;194,18;247,48;201,08;223,19;184,16;250,37;203,69;167,36;161,03;166,25;144,01;140,38;165,01;166,41;176,96;189,47;146,09;172,21;177,49;162,27;140,82;132,45;157,71;156,28;150,53;187,94;191,78;180,35;165,84;188,25;193,04;177,18;175,16;166,90;179,27;193,17;190,70;231,46;214,64;213,45;176,25;230,01;238,07;229,48;197,75;214,90;215,76;258,07;239,90;270,99;245,41;268,21;183,97;233,58;292,21;252,24;213,37;225,61;214,28;250,25;261,10;282,19;233,56;267,67;191,86;256,94;282,17;237,99;219,76;213,49;214,54;174,16;130,23
Belarus, Rep. of;2635,44;2708,48;3057,02;3045,35;3059,03;2887,04;3196,16;2816,21;3012,24;2960,71;2666,23;2396,40;1507,22;1906,88;2137,22;2199,42;2154,85;2190,08;2233,63;1844,36;2033,14;2150,71;2017,90;1969,41;1418,08;1635,08;2223,99;1969,21;1946,17;2079,40;1765,31;1895,78;1976,35;1979,06;2030,10;2228,81;1861,42;1943,60;2292,07;2286,06;2387,39;2404,66;2297,46;2479,43;2490,72;2657,30;2798,00;2802,84;2363,77;2576,65;2917,40;2754,38;2864,13;2940,72;2758,02;2879,09;2812,85;2993,03;2877,07;2628,53;2327,71;2506,51;2881,05;2953,88;2614,97;2420,66;2768,99;2831,86;2867,73;2824,86;2965,58;2904,68;1972,06;2697,18;2312,19;1924,30;2298,64;2709,35;3165,48;3371,50;3023,30;2911,74;3325,82;3188,52;3445,73;3438,80;3615,19;3541,59;1814,91;1939,17;2419,00;2353,55;2296,68;2524,26;2685,39;2239,72;2221,66;2112,41;1956,53;1862,94;1422,39;1500,74;1728,95;1757,70;1721,75;1774,74;1995,38;1686,69;1677,92;1693,35;1546,66;1432,56;1125,20;1320,98;1508,77;1597,08;1580,58;1700,01;1679,24;1684,10;1644,97;1526,39;1709,45;1725,33;1468,29;1687,17;1853,60;1804,61;2000,95;1856,98;1906,37;2076,10;2123,71;1919,12;1986,98;1837,57;1934,30;2054,50;2342,49;2180,45;2151,76;2233,71;2254,88;2172,69;2160,19;2224,03;2328,93;2012,19;2033,52;2108,85;2135,60;2075,78;2172,68;2160,88;2293,78;2383,39;2316,88;2271,49;2197,53;2119,78;1890,29;1964,55;2166,70;1594,36
Bosnia and Herzegovina;746,95;739,88;780,08;867,24;852,42;850,01;874,78;767,42;880,23;795,75;720,08;678,67;538,89;606,36;674,91;658,77;659,04;676,61;713,95;597,24;681,88;696,64;609,66;599,21;460,98;613,51;685,41;692,33;659,10;703,43;651,74;658,15;719,22;676,27;718,22;638,45;536,90;645,55;769,59;662,47;754,89;767,05;753,31;812,52;833,52;839,03;842,78;752,42;715,38;765,27;882,83;834,26;881,58;849,68;830,29;811,19;854,61;920,67;807,35;719,49;714,04;780,72;881,79;863,67;916,36;772,58;871,67;731,79;774,86;867,83;779,56;733,20;670,98;748,79;731,44;531,50;672,98;809,43;974,37;937,69;895,49;991,61;970,60;904,66;1066,81;1066,86;1076,51;1025,73;469,31;453,74;524,72;527,86;475,46;532,82;574,42;435,18;560,54;525,23;473,93;440,27;405,30;416,74;478,66;441,19;456,52;487,53;496,69;421,58;477,49;484,08;438,28;410,81;373,79;431,55;494,77;486,65;484,65;515,67;478,83;483,78;497,34;503,95;609,63;465,58;433,74;483,17;542,41;484,63;563,94;548,63;583,66;554,50;605,22;642,01;642,61;560,34;607,94;592,85;642,21;638,96;642,95;659,31;701,18;568,54;634,27;673,17;624,33;531,09;523,42;551,67;586,64;608,59;589,00;568,58;638,71;464,85;586,61;602,25;568,10;493,84;481,75;511,51;512,40;402,19
Bulgaria;2637,79;2544,74;2616,88;2733,68;2712,80;2654,54;2947,54;2531,07;2760,60;2895,22;2638,86;2425,76;2286,35;2229,23;2422,97;2389,30;2415,88;2456,44;2551,48;2078,48;2483,12;2599,09;2458,64;2246,89;2098,19;2155,73;2400,65;2343,86;2470,64;2719,70;2572,43;2630,10;2610,36;2612,61;2616,24;2568,44;2319,92;2672,06;2970,22;2529,33;2911,98;2975,37;2852,44;2917,24;3092,99;3392,59;3467,26;2899,58;3229,18;3161,39;3541,50;3141,57;3288,88;3179,40;3242,92;2886,16;3030,76;3413,58;3462,13;2797,68;3042,51;2984,39;3401,95;3033,19;3195,25;3075,17;3243,01;2797,37;3111,56;3457,69;3399,70;2902,20;2929,90;2816,70;2989,63;2081,03;3041,15;3274,72;3860,43;3540,05;3514,96;3751,68;3609,49;3366,25;3847,67;4034,34;4200,52;4172,94;2194,11;2209,58;2346,22;2466,75;2349,42;2560,91;2667,95;2483,13;2705,72;2680,02;2482,64;2313,39;2057,58;1958,21;2159,00;2059,90;2193,40;2247,75;2183,17;1959,72;2169,26;2168,72;2001,27;1974,80;1808,43;1960,03;2132,77;2193,07;2115,10;2310,06;2281,18;2330,67;2189,71;2194,84;2240,78;2235,45;2068,29;2304,55;2614,76;2217,32;2455,76;2629,64;2627,36;2627,96;2908,47;2813,90;2851,38;2514,10;2778,76;2542,95;2857,10;2658,35;2657,57;2776,72;2915,82;2712,15;2653,31;2822,07;2741,24;2502,45;2590,14;2616,48;2791,43;2756,11;2784,81;2582,98;2908,99;2605,72;2786,91;3127,53;2922,72;2558,62;2736,87;2623,56;2592,42;2024,04
Croatia, Rep. of;1621,46;1751,24;1981,01;2176,65;1798,14;2123,71;1995,65;1730,30;2046,31;1851,51;1742,72;1733,69;1491,31;1684,06;1757,99;1750,49;1749,35;1879,21;1917,13;1553,65;1841,31;1807,26;1703,59;1663,27;1449,80;1678,82;1820,97;1847,61;1893,81;1954,38;1849,67;1778,27;1879,33;1751,43;1910,27;1694,86;1687,74;1845,78;2388,69;2080,16;2163,76;2136,25;2142,62;2110,68;2425,69;2299,66;2214,13;2157,32;2241,94;2395,58;2748,48;2505,52;2607,34;2466,74;2730,97;2613,63;2268,10;2612,15;2612,78;2386,10;2459,33;2634,98;3032,00;2735,92;2836,68;2462,45;2657,01;2254,29;2353,89;2676,77;2385,91;2250,17;2331,39;2360,22;2332,82;1821,46;2527,19;2597,55;3032,36;2773,45;2834,40;2970,63;3094,46;2892,09;3150,25;3407,47;3484,29;3275,56;874,45;944,83;1099,77;1051,71;1030,71;1002,18;1106,00;909,01;1086,20;1005,43;967,31;988,45;784,10;829,00;1000,59;919,20;1001,90;1045,77;1033,95;836,06;1166,07;1057,56;985,66;973,80;765,91;904,08;1013,52;1098,29;1101,91;1075,11;1018,86;1027,47;1136,85;1074,56;1188,94;1305,63;878,09;1041,01;1206,21;991,82;1275,05;1218,17;1177,88;1163,66;1286,39;1334,55;1349,50;1286,45;1205,10;1164,34;1380,35;1300,70;1376,33;1287,90;1360,37;1178,84;1314,76;1527,44;1327,96;1312,63;1144,06;1237,98;1299,41;1279,86;1409,97;1207,54;1517,11;1335,44;1285,80;1380,10;1329,17;1211,70;1139,03;1131,02;1208,64;988,05
Czechoslovakia;5,05;2,95;1,38;1,55;1,26;1,84;1,53;0,57;3,90;2,20;2,46;2,24;1,80;1,37;4,20;1,86;1,65;1,27;5,58;0,89;0,88;1,06;2,11;0,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,37;0,26;0,02;0,47;0,15;0,60;0,12;0,26;0,02;0,03;0,89;0,36;39,41;0,64;0,30;0,35;37,17;41,28;41,55;39,82;35,42;0,25;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faroe Islands;94,19;67,65;58,29;72,80;89,77;144,97;71,89;79,60;80,80;83,48;58,89;115,14;57,93;85,77;92,97;55,18;85,70;98,26;124,47;56,82;67,75;92,21;76,06;70,90;115,55;55,09;61,64;120,23;52,17;63,49;56,10;61,14;88,14;68,91;66,63;113,82;67,42;67,61;89,88;58,27;85,71;94,12;92,14;76,53;89,51;82,94;89,99;76,79;71,93;92,85;99,81;85,57;120,53;111,21;95,62;88,10;84,62;99,26;91,96;78,09;84,61;76,84;88,11;87,73;95,32;75,27;158,08;134,42;97,53;107,00;96,33;101,18;87,77;80,25;88,26;79,01;99,63;94,14;116,17;100,51;98,55;152,43;102,71;100,48;129,86;135,62;121,97;146,35;109,82;103,00;114,35;111,19;142,31;110,47;99,73;87,77;143,20;134,85;134,67;107,67;70,83;84,59;118,60;96,07;111,76;114,43;111,94;82,01;123,76;124,78;116,25;116,77;136,52;112,35;117,56;124,31;125,69;108,52;103,31;78,62;133,42;160,58;126,08;131,74;137,35;113,47;128,94;111,05;130,43;135,91;132,23;90,12;134,56;153,57;134,21;127,56;119,11;131,28;137,09;126,52;137,88;125,85;103,03;97,40;109,27;153,79;139,83;133,66;160,03;148,64;139,18;150,03;141,04;122,77;114,61;104,22;153,67;180,60;148,97;178,87;132,73;135,00;133,44;97,18
Gibraltar;1447,47;1211,67;1491,48;1177,74;1241,13;1409,77;1418,82;821,84;1238,81;1065,33;952,42;495,14;991,24;856,69;694,32;738,39;934,90;750,17;922,01;640,20;716,02;745,18;682,45;607,75;547,69;384,05;797,67;668,90;748,49;844,83;830,40;696,08;764,61;547,72;560,66;576,30;704,42;700,07;822,30;796,01;871,59;555,85;810,89;564,79;656,50;679,86;871,90;883,52;602,78;802,20;1141,30;770,21;988,39;960,08;777,75;941,89;907,67;689,03;544,27;581,36;652,36;996,23;779,80;465,23;859,73;1046,23;619,46;650,75;709,02;589,35;660,20;533,35;535,51;805,95;592,73;479,29;445,19;637,03;706,42;690,62;689,33;588,59;616,67;661,58;738,86;768,61;699,52;728,38;203,78;61,30;186,76;526,79;103,90;51,89;135,35;71,14;128,27;131,00;184,10;35,52;19,84;19,65;25,68;65,93;56,25;26,73;47,22;46,16;22,85;25,58;43,15;26,90;23,53;23,06;20,80;49,37;54,93;22,90;14,89;6,21;59,91;19,22;7,87;15,57;26,23;25,57;78,67;19,20;31,91;39,90;21,79;16,75;38,45;53,69;59,42;46,34;17,69;10,56;7,59;29,65;24,56;22,01;26,28;11,76;30,30;39,30;9,32;6,51;7,96;9,91;21,67;14,79;45,27;12,60;16,51;23,35;15,68;25,46;16,02;18,93;11,30;13,98;20,12;25,62
Hungary;8448,42;8310,73;8981,05;8927,55;9042,34;8772,43;9270,98;8083,71;8881,29;8917,58;8115,87;7103,96;7420,22;7336,55;7959,69;7639,29;7543,90;7982,96;7866,87;6789,06;8297,35;8415,35;7845,91;6623,61;6913,55;7475,55;7955,57;8022,22;7943,81;8399,96;7510,99;7605,76;8481,08;7936,93;8375,80;6976,51;7788,48;7767,26;9033,02;7956,88;9086,03;8995,59;8548,14;8688,14;9610,81;9576,37;9820,61;8102,29;9608,58;9523,87;10334,82;10149,51;10119,48;10232,18;9798,91;9454,38;9779,49;10819,84;10205,42;8281,14;9906,90;9793,59;10507,24;9797,26;10315,22;9508,67;9799,24;9103,69;10113,95;10584,51;9984,61;8108,60;9932,99;9402,12;9534,47;6578,99;10221,81;11082,82;12529,43;11381,04;11734,37;12395,47;11720,13;10927,79;12516,17;11989,62;12629,64;11568,90;8275,35;8730,46;9730,41;9326,63;9244,06;9421,90;9516,71;7736,98;9650,39;9396,56;9032,74;8322,43;7594,84;8027,14;8988,23;8090,56;8033,09;8829,82;8474,06;7387,60;9062,03;9028,06;8777,46;8102,12;7296,79;8382,27;8944,70;8852,02;8586,73;9116,36;8015,46;8162,98;9269,23;8845,84;9185,68;8173,32;7912,46;8494,43;9808,35;8705,94;9742,70;9797,29;9114,74;9130,03;10361,87;10250,41;10803,28;9448,27;9937,70;10340,41;11187,60;10462,75;10778,92;10673,09;9847,44;9413,55;9866,38;10783,09;10596,82;9191,76;9844,21;9948,73;10866,55;10338,96;10423,62;9996,18;10285,80;9028,96;10592,97;11150,08;10781,88;9230,95;9671,97;10204,99;10097,78;6824,18
Kosovo, Rep. of;134,92;146,55;197,55;177,56;167,23;172,63;178,39;185,60;180,84;168,58;164,05;162,97;118,58;124,73;145,75;147,54;152,23;155,97;155,86;135,26;153,39;151,60;137,54;147,39;101,60;138,55;162,65;180,25;170,05;169,66;157,75;171,78;157,77;165,70;162,21;175,42;108,40;139,64;189,74;175,29;187,63;183,98;188,76;200,42;180,20;196,08;210,52;193,09;166,69;145,40;179,96;228,08;240,07;190,08;227,92;211,70;226,25;219,38;202,99;214,76;130,18;184,03;216,84;220,23;248,37;197,44;251,04;216,39;217,01;230,35;221,94;211,97;160,30;189,83;187,25;131,62;188,24;249,90;314,20;283,10;282,88;305,38;278,64;261,18;282,13;262,44;297,05;280,34;15,15;19,95;18,69;17,22;20,40;21,02;24,08;15,05;19,89;16,36;13,60;12,53;15,82;11,82;15,06;12,10;14,89;22,80;17,78;21,22;17,21;17,56;14,58;13,44;9,95;14,76;16,13;18,68;18,51;19,14;16,56;16,60;18,13;19,20;17,02;15,86;10,78;16,03;20,16;19,00;21,40;24,39;24,45;29,00;26,32;28,01;26,02;24,51;20,47;22,16;24,81;26,75;28,46;27,46;26,93;24,10;25,61;31,28;27,85;24,70;18,89;21,24;24,85;32,98;31,23;27,59;29,34;29,26;31,40;34,14;30,67;23,70;22,69;26,11;23,30;22,58
